schema,owner,name,kind,args,returns,language,security_definer,volatility,definition_preview
public,postgres,check_recent_report_by_category,function,"p_ciudadano_id uuid, p_categoria_publica_id integer",boolean,sql,false,s,"CREATE OR REPLACE FUNCTION public.check_recent_report_by_category(p_ciudadano_id uuid, p_categoria_publica_id integer)
 RETURNS boolean
 LANGUAGE sql
 STABLE
AS $function$
  SELECT EXISTS (
    SELECT 1
    FROM public.denuncias
    WHE"
public,postgres,fn_audit_log,function,,trigger,plpgsql,true,v,"CREATE OR REPLACE FUNCTION public.fn_audit_log()
 RETURNS trigger
 LANGUAGE plpgsql
 SECURITY DEFINER
 SET search_path TO 'public'
AS $function$
declare
  v_actor uuid := null;
  v_email text := null;
  v_fila_id text := null;
begin
 "
public,postgres,fn_comentario_reaccionar,function,"p_comentario_id integer, p_tipo text",comentario_reacciones,plpgsql,false,v,"CREATE OR REPLACE FUNCTION public.fn_comentario_reaccionar(p_comentario_id integer, p_tipo text)
 RETURNS comentario_reacciones
 LANGUAGE plpgsql
AS $function$
declare
  v public.comentario_reacciones;
  v_tipo text := upper(p_tipo);
be"
public,postgres,fn_delete_comentario_denuncia,function,p_comentario_id integer,record,plpgsql,true,v,"CREATE OR REPLACE FUNCTION public.fn_delete_comentario_denuncia(p_comentario_id integer)
 RETURNS TABLE(id integer, denuncia_id integer, usuario_id text, contenido text, created_at timestamp with time zone, parent_id integer)
 LANGUAGE plpg"
public,postgres,fn_denuncia_reaccionar,function,"p_denuncia_id uuid, p_tipo text",denuncia_reacciones,plpgsql,false,v,"CREATE OR REPLACE FUNCTION public.fn_denuncia_reaccionar(p_denuncia_id uuid, p_tipo text)
 RETURNS denuncia_reacciones
 LANGUAGE plpgsql
AS $function$
declare
  v public.denuncia_reacciones;
  v_tipo text := upper(p_tipo);
begin
  if v"
public,postgres,fn_enqueue_denuncia_status,function,,trigger,plpgsql,false,v,"CREATE OR REPLACE FUNCTION public.fn_enqueue_denuncia_status()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
declare
  v_inspector_user uuid;
  v_exists boolean;
begin
  if tg_op = 'UPDATE' and NEW.estado_id is distinct from OLD.est"
public,postgres,fn_evento_id,function,p_codigo text,integer,sql,false,s,"CREATE OR REPLACE FUNCTION public.fn_evento_id(p_codigo text)
 RETURNS integer
 LANGUAGE sql
 STABLE
AS $function$
  select id
  from public.evento_turno_tipo
  where upper(codigo) = upper(p_codigo)
  limit 1
$function$
"
public,postgres,fn_generar_folio,function,,text,plpgsql,false,v,"CREATE OR REPLACE FUNCTION public.fn_generar_folio()
 RETURNS text
 LANGUAGE plpgsql
 SET search_path TO 'public', 'pg_temp'
AS $function$
declare
  n bigint;
  hoy text := to_char(now() at time zone 'America/Santiago', 'YYYYMMDD');
beg"
public,postgres,fn_movil_cerrar_uso,function,"p_uso_id bigint, p_kilometraje_fin numeric, p_observacion text, p_actor_user_id uuid, p_fin_ts timestamp with time zone",movil_usos,plpgsql,true,v,"CREATE OR REPLACE FUNCTION public.fn_movil_cerrar_uso(p_uso_id bigint, p_kilometraje_fin numeric, p_observacion text DEFAULT NULL::text, p_actor_user_id uuid DEFAULT NULL::uuid, p_fin_ts timestamp with time zone DEFAULT NULL::timestamp with"
public,postgres,fn_movil_iniciar_uso,function,"p_movil_id bigint, p_inspector_id integer, p_kilometraje_inicio numeric, p_turno_id bigint, p_observacion text, p_actor_user_id uuid, p_inicio_ts timestamp with time zone",movil_usos,plpgsql,true,v,"CREATE OR REPLACE FUNCTION public.fn_movil_iniciar_uso(p_movil_id bigint, p_inspector_id integer, p_kilometraje_inicio numeric, p_turno_id bigint DEFAULT NULL::bigint, p_observacion text DEFAULT NULL::text, p_actor_user_id uuid DEFAULT NULL"
