schemaname,tablename,indexname,indexdef
public,alertas_oficiales,alertas_oficiales_pkey,CREATE UNIQUE INDEX alertas_oficiales_pkey ON public.alertas_oficiales USING btree (id)
public,alertas_oficiales,idx_alertas_cuadrante_fecha,"CREATE INDEX idx_alertas_cuadrante_fecha ON public.alertas_oficiales USING btree (cuadrante_id, created_at DESC)"
public,alertas_oficiales,idx_alertas_oficiales_creado_por_fk_4fa82e,CREATE INDEX idx_alertas_oficiales_creado_por_fk_4fa82e ON public.alertas_oficiales USING btree (creado_por)
public,alertas_oficiales,idx_alertas_oficiales_cuadrante_id_fk_3eb35b,CREATE INDEX idx_alertas_oficiales_cuadrante_id_fk_3eb35b ON public.alertas_oficiales USING btree (cuadrante_id)
public,alertas_oficiales,idx_alertas_oficiales_denuncia_id_fk_86ac30,CREATE INDEX idx_alertas_oficiales_denuncia_id_fk_86ac30 ON public.alertas_oficiales USING btree (denuncia_id)
public,asignaciones_inspector,asignaciones_inspector_pkey,CREATE UNIQUE INDEX asignaciones_inspector_pkey ON public.asignaciones_inspector USING btree (id)
public,asignaciones_inspector,idx_asig_por_denuncia,CREATE INDEX idx_asig_por_denuncia ON public.asignaciones_inspector USING btree (denuncia_id)
public,asignaciones_inspector,idx_asignaciones_inspector_asignado_por_fk_bbd632,CREATE INDEX idx_asignaciones_inspector_asignado_por_fk_bbd632 ON public.asignaciones_inspector USING btree (asignado_por)
public,audit_log,audit_log_pkey,CREATE UNIQUE INDEX audit_log_pkey ON public.audit_log USING btree (id)
public,audit_log,idx_audit_actor,CREATE INDEX idx_audit_actor ON public.audit_log USING btree (actor_user_id)
public,audit_log,idx_audit_operacion,CREATE INDEX idx_audit_operacion ON public.audit_log USING btree (operacion)
public,audit_log,idx_audit_tabla,CREATE INDEX idx_audit_tabla ON public.audit_log USING btree (tabla)
public,audit_log,idx_audit_ts,CREATE INDEX idx_audit_ts ON public.audit_log USING btree (ts DESC)
public,cat_familias,cat_familias_nombre_key,CREATE UNIQUE INDEX cat_familias_nombre_key ON public.cat_familias USING btree (nombre)
public,cat_familias,cat_familias_pkey,CREATE UNIQUE INDEX cat_familias_pkey ON public.cat_familias USING btree (id)
public,cat_grupos,cat_grupos_pkey,CREATE UNIQUE INDEX cat_grupos_pkey ON public.cat_grupos USING btree (id)
public,cat_grupos,cat_grupos_unq,"CREATE UNIQUE INDEX cat_grupos_unq ON public.cat_grupos USING btree (familia_id, nombre)"
public,cat_grupos,idx_grupos_familia,CREATE INDEX idx_grupos_familia ON public.cat_grupos USING btree (familia_id)
public,cat_req_mapeo_publico,cat_req_mapeo_publico_pkey,CREATE UNIQUE INDEX cat_req_mapeo_publico_pkey ON public.cat_req_mapeo_publico USING btree (requerimiento_id)
public,cat_req_mapeo_publico,idx_mapeo_catpub,CREATE INDEX idx_mapeo_catpub ON public.cat_req_mapeo_publico USING btree (categoria_publica_id)
public,cat_requerimientos,cat_requerimientos_pkey,CREATE UNIQUE INDEX cat_requerimientos_pkey ON public.cat_requerimientos USING btree (id)
public,cat_requerimientos,cat_requerimientos_unq,"CREATE UNIQUE INDEX cat_requerimientos_unq ON public.cat_requerimientos USING btree (subgrupo_id, nombre)"
public,cat_requerimientos,idx_reqs_subgrupo,CREATE INDEX idx_reqs_subgrupo ON public.cat_requerimientos USING btree (subgrupo_id)
public,cat_subgrupos,cat_subgrupos_pkey,CREATE UNIQUE INDEX cat_subgrupos_pkey ON public.cat_subgrupos USING btree (id)
public,cat_subgrupos,cat_subgrupos_unq,"CREATE UNIQUE INDEX cat_subgrupos_unq ON public.cat_subgrupos USING btree (grupo_id, nombre)"
public,cat_subgrupos,idx_subgrupos_grupo,CREATE INDEX idx_subgrupos_grupo ON public.cat_subgrupos USING btree (grupo_id)
public,categorias_publicas,categorias_publicas_nombre_key,CREATE UNIQUE INDEX categorias_publicas_nombre_key ON public.categorias_publicas USING btree (nombre)
public,categorias_publicas,categorias_publicas_pkey,CREATE UNIQUE INDEX categorias_publicas_pkey ON public.categorias_publicas USING btree (id)
public,comentario_reacciones,comentario_reacciones_pkey,CREATE UNIQUE INDEX comentario_reacciones_pkey ON public.comentario_reacciones USING btree (id)
public,comentario_reacciones,idx_comentario_reac_comentario,CREATE INDEX idx_comentario_reac_comentario ON public.comentario_reacciones USING btree (comentario_id)
public,comentario_reacciones,idx_comentario_reac_usuario,CREATE INDEX idx_comentario_reac_usuario ON public.comentario_reacciones USING btree (usuario_id)
public,comentario_reacciones,ux_comentario_reac_comentario_usuario,"CREATE UNIQUE INDEX ux_comentario_reac_comentario_usuario ON public.comentario_reacciones USING btree (comentario_id, usuario_id)"
public,comentarios_denuncias,comentarios_denuncias_pkey,CREATE UNIQUE INDEX comentarios_denuncias_pkey ON public.comentarios_denuncias USING btree (id)
public,comentarios_denuncias,idx_comentarios_denuncia_id,CREATE INDEX idx_comentarios_denuncia_id ON public.comentarios_denuncias USING btree (denuncia_id)
public,comentarios_denuncias,idx_comentarios_denuncia_parent_created,"CREATE INDEX idx_comentarios_denuncia_parent_created ON public.comentarios_denuncias USING btree (denuncia_id, parent_id, created_at DESC)"
public,comentarios_denuncias,idx_comentarios_denuncias_denuncia_id_fk_1ddfa9,CREATE INDEX idx_comentarios_denuncias_denuncia_id_fk_1ddfa9 ON public.comentarios_denuncias USING btree (denuncia_id)
public,comentarios_denuncias,idx_comentarios_denuncias_usuario_id_fk_5537d7,CREATE INDEX idx_comentarios_denuncias_usuario_id_fk_5537d7 ON public.comentarios_denuncias USING btree (usuario_id)
