table_schema,table_name,trigger_name,owner,trigger_definition,enabled_state,function_schema,function_name
public,alertas_oficiales,t_audit_alertas,postgres,CREATE TRIGGER t_audit_alertas AFTER INSERT OR DELETE OR UPDATE ON alertas_oficiales FOR EACH ROW EXECUTE FUNCTION fn_audit_log(),ENABLED,public,fn_audit_log
public,asignaciones_inspector,t_audit_asign,postgres,CREATE TRIGGER t_audit_asign AFTER INSERT OR DELETE OR UPDATE ON asignaciones_inspector FOR EACH ROW EXECUTE FUNCTION fn_audit_log(),ENABLED,public,fn_audit_log
public,asignaciones_inspector,tg_asignaciones_ai,postgres,CREATE TRIGGER tg_asignaciones_ai AFTER INSERT ON asignaciones_inspector FOR EACH ROW EXECUTE FUNCTION trg_asignaciones_after_insert(),ENABLED,public,trg_asignaciones_after_insert
public,comentario_reacciones,trg_comentario_reac_touch,postgres,CREATE TRIGGER trg_comentario_reac_touch BEFORE UPDATE ON comentario_reacciones FOR EACH ROW EXECUTE FUNCTION trg_touch_updated_at_comentario_reac(),ENABLED,public,trg_touch_updated_at_comentario_reac
public,comentarios_denuncias,trg_comentarios_den_set_usuario,postgres,CREATE TRIGGER trg_comentarios_den_set_usuario BEFORE INSERT ON comentarios_denuncias FOR EACH ROW EXECUTE FUNCTION trg_comentarios_den_set_usuario(),ENABLED,public,trg_comentarios_den_set_usuario
public,comentarios_denuncias,trg_prevent_parent_change,postgres,CREATE TRIGGER trg_prevent_parent_change BEFORE UPDATE ON comentarios_denuncias FOR EACH ROW EXECUTE FUNCTION trg_prevent_parent_change(),ENABLED,public,trg_prevent_parent_change
public,comentarios_denuncias,trg_validate_parent_comment,postgres,CREATE TRIGGER trg_validate_parent_comment BEFORE INSERT ON comentarios_denuncias FOR EACH ROW EXECUTE FUNCTION trg_validate_parent_comment(),ENABLED,public,trg_validate_parent_comment
public,denuncia_clasificaciones,trg_denuncia_clasif_unica_vigente,postgres,CREATE TRIGGER trg_denuncia_clasif_unica_vigente AFTER INSERT OR UPDATE OF vigente ON denuncia_clasificaciones FOR EACH ROW EXECUTE FUNCTION trg_denuncia_clasif_unica_vigente(),ENABLED,public,trg_denuncia_clasif_unica_vigente
public,denuncia_evidencias,t_audit_ev,postgres,CREATE TRIGGER t_audit_ev AFTER INSERT OR DELETE OR UPDATE ON denuncia_evidencias FOR EACH ROW EXECUTE FUNCTION fn_audit_log(),ENABLED,public,fn_audit_log
public,denuncia_evidencias,trg_evidencias_set_created_by,postgres,CREATE TRIGGER trg_evidencias_set_created_by BEFORE INSERT ON denuncia_evidencias FOR EACH ROW EXECUTE FUNCTION trg_evidencias_set_created_by(),ENABLED,public,trg_evidencias_set_created_by
public,denuncia_observaciones,t_audit_obs,postgres,CREATE TRIGGER t_audit_obs AFTER INSERT OR DELETE OR UPDATE ON denuncia_observaciones FOR EACH ROW EXECUTE FUNCTION fn_audit_log(),ENABLED,public,fn_audit_log
public,denuncia_reacciones,trg_reacciones_touch,postgres,CREATE TRIGGER trg_reacciones_touch BEFORE UPDATE ON denuncia_reacciones FOR EACH ROW EXECUTE FUNCTION trg_touch_updated_at(),ENABLED,public,trg_touch_updated_at
public,denuncias,t_audit_denuncias,postgres,CREATE TRIGGER t_audit_denuncias AFTER INSERT OR DELETE OR UPDATE ON denuncias FOR EACH ROW EXECUTE FUNCTION fn_audit_log(),ENABLED,public,fn_audit_log
public,denuncias,tg_denuncias_ai,postgres,CREATE TRIGGER tg_denuncias_ai AFTER INSERT ON denuncias FOR EACH ROW EXECUTE FUNCTION trg_denuncias_after_insert(),ENABLED,public,trg_denuncias_after_insert
public,denuncias,tg_denuncias_au,postgres,CREATE TRIGGER tg_denuncias_au AFTER UPDATE ON denuncias FOR EACH ROW EXECUTE FUNCTION trg_denuncias_after_update(),ENABLED,public,trg_denuncias_after_update
